% Model,grating_2D_bands.mph
% Version,COMSOL 5.3.0.223
% Date,"Sep 24 2019, 11:04"
% Table,Table 2 - Global Evaluation 3 (emw.freq)
% Kx,"Solution=1, Frequency (Hz)","Solution=2, Frequency (Hz)","Solution=3, Frequency (Hz)","Solution=4, Frequency (Hz)","Solution=5, Frequency (Hz)","Solution=6, Frequency (Hz)","Solution=7, Frequency (Hz)","Solution=8, Frequency (Hz)","Solution=9, Frequency (Hz)","Solution=10, Frequency (Hz)","Solution=11, Frequency (Hz)","Solution=12, Frequency (Hz)","Solution=13, Frequency (Hz)","Solution=14, Frequency (Hz)","Solution=15, Frequency (Hz)","Solution=16, Frequency (Hz)","Solution=17, Frequency (Hz)","Solution=18, Frequency (Hz)","Solution=19, Frequency (Hz)","Solution=20, Frequency (Hz)","Solution=21, Frequency (Hz)","Solution=22, Frequency (Hz)","Solution=23, Frequency (Hz)","Solution=24, Frequency (Hz)","Solution=25, Frequency (Hz)","Solution=26, Frequency (Hz)","Solution=27, Frequency (Hz)","Solution=28, Frequency (Hz)","Solution=29, Frequency (Hz)","Solution=30, Frequency (Hz)","Solution=31, Frequency (Hz)","Solution=32, Frequency (Hz)","Solution=33, Frequency (Hz)","Solution=34, Frequency (Hz)","Solution=35, Frequency (Hz)"
0,6.82475390143721E-10,4.588506980897051E-9,3.86085249071872E-8,2.2871137611549228E-7,3.987179223303614E-7,0.04360706244064388,0.04759096564313217,0.0981662844334194,0.0983453463064499,0.13238967289129547,0.14300743961935022,0.1948698709837554,0.1962411157786694,0.2250123910398963,0.23908503392247277,0.2893941245875281,0.293319818293654,0.3217212902884425,0.33611594605879636,0.3824074616218786,0.3893915648116375,0.4208365704347842,0.434166566760582,0.47463537560439667,0.48456543380846073,0.49092080270064997,0.5212516318104541,0.5339348360322287,0.5673475463111048,0.5803219551641866,0.6287910137296324,0.6313777393035837,0.6400690891154853,0.6628768675481436,0.6723284997311474
0.1,8.653469988851431E-9,8.346466975168164E-8,1.2136515273562985E-7,3.9618562028152765E-7,5.834825902494009E-7,0.04959273749737714,0.06130595515798353,0.06868777382961735,0.10959281664172017,0.10973019330576154,0.13968878556586273,0.15119031938503844,0.20082051488998093,0.2020852189717552,0.22970790134826855,0.24402576567131232,0.29338211523489044,0.29725959971083293,0.32517479403411476,0.33961457068465845,0.3854222530287594,0.3923649040075872,0.42354807484552187,0.4368547460704151,0.4771317643767252,0.4869585691745188,0.48887000625230587,0.5235674872499243,0.5361342105655634,0.5695080955401521,0.5823565808992123,0.6306244077576793,0.6309818045151612,0.641844493007121,0.664523604357161
0.2,3.965639288563214E-9,6.011774616249581E-9,6.120136017209384E-8,1.9013165133267195E-7,3.8415997953488E-7,0.09553970596165885,0.09914531037814313,0.1104071444481997,0.13835433403951009,0.13918976200221092,0.1602158370494986,0.1736715701860222,0.21783484901914296,0.21879753117810993,0.24344279042711364,0.25835724755630296,0.3050908284415717,0.3088160438129129,0.3353786001410441,0.34993101373997054,0.39436165062808337,0.40116802178676814,0.4316317387369681,0.44483610716417904,0.4828770696443936,0.484602418697978,0.4940768438548044,0.5304772250460139,0.5426941156473949,0.5759147332031554,0.5884318714205359,0.6281903505305326,0.6376322195092803,0.6471141144458424,0.6692904646342794
0.30000000000000004,8.38682367019588E-10,2.7800691098974042E-9,5.33781023547866E-8,2.1039115436155413E-7,3.842064002447893E-7,0.13088181286745695,0.1486063243754103,0.15709169555585367,0.1764742912916883,0.17811526772825897,0.19107352344229847,0.20607801892898608,0.24384337416196306,0.24434307808559078,0.26525741612912757,0.28079209819299816,0.3238149311066408,0.3272667063691336,0.35188715397162657,0.36656157229484065,0.40894544247540476,0.4154672021253773,0.4449935450125427,0.4578708370553899,0.4734115807829317,0.4969307924658317,0.5057445674640892,0.5418298148342195,0.5535035414970357,0.5863614323573191,0.5984537444664743,0.623544355788316,0.6490946623531737,0.6557336876048236,0.6766752354006509
0.4,7.02750297980454E-8,1.3412372000975992E-7,4.4439491882027875E-7,2.417091533287378E-6,0.1630153963543197,0.19789669587525455,0.20535195922081384,0.21907310545980987,0.2215670869182023,0.22935293049935127,0.24455407266806617,0.2763758617888812,0.2764752178535038,0.2938169008141957,0.3096844699067441,0.348558386778095,0.3516014675166932,0.3740461416532822,0.38877203464296706,0.4288920407978026,0.4347591414100026,0.4611152860127188,0.46360994192002003,0.4755906620456352,0.5136905817468304,0.5216964846230204,0.5573310864580915,0.5683766271177847,0.6005937104996415,0.6122087375572384,0.6158708373380569,0.665421057307721,0.6675726079660431,0.6703412963057136,0.6859382433279655
0.5,3.540533908335178E-10,1.0481842187739184E-7,3.944896346440102E-7,8.503179646427961E-7,0.19114234061450344,0.24688056181747156,0.25428638287056543,0.26395424814880764,0.2673334307497465,0.27233318469897977,0.28664902563511263,0.3129142970188838,0.31372791350054796,0.3276549134375255,0.3434531562225732,0.37824956102699486,0.3807267499768702,0.4012502700343123,0.41572020524896736,0.44675579392061004,0.45413751410245906,0.4584375457234579,0.48690323539817154,0.49754283483466255,0.5342465807026086,0.5416281659737606,0.5766612358739842,0.5869675636215325,0.604387704451357,0.6184724946404403,0.6292603598802826,0.6697934244925126,0.6827341886699525,0.683469802675555,0.6962294683999927
0.6000000000000001,3.093614057966831E-8,6.674300726573492E-8,7.135475695416989E-8,9.708731959272631E-8,3.342464472801101E-7,3.8014036592115443E-7,6.19439976861443E-7,0.2154907342675795,0.2953147126972336,0.30356825507268903,0.3101717673336956,0.3143956946868567,0.3179037704583894,0.33096240941864924,0.3525324927859458,0.3541173335289568,0.3653357009301069,0.38080307249308737,0.4125699606110877,0.41362396910901095,0.43078032369129443,0.43476407260453753,0.4465668226873783,0.48277100758013436,0.4858671909719382,0.5134627214611892,0.5232479771846531,0.5581968473988591,0.565241856771114,0.5885714392790864,0.5996893884992123,0.6085814786974755,0.6405306464137291,0.6491700779703669,0.6696401126802852
0.7000000000000001,2.834718106167585E-8,4.72080023640675E-8,3.527712440522942E-7,3.6559033500708657E-7,3.816652421519409E-7,4.3532353664627044E-7,6.140690091081799E-7,6.858699167233392E-7,7.244395941464154E-7,0.2360769291234588,0.34278711645121646,0.35305272529036985,0.3573685789696339,0.36219125607928165,0.3647507841723512,0.3766948190536964,0.3942806988143644,0.3968381792522453,0.4062959834003107,0.4167484840273853,0.4207581220090063,0.44943026698363,0.45059227831408466,0.47052056368162115,0.48054760855184014,0.5139562866998858,0.5164875921985189,0.5429339014191857,0.5522028614153552,0.5678704550504295,0.5853510340524121,0.5917821527311645,0.6268411485246129,0.632923780980249,0.6517784639940598
0.8,2.014532302911876E-9,7.610324743375125E-8,9.392254903754069E-8,1.015497867727936E-7,2.1583006643217518E-7,3.403293003353952E-7,3.7383468261781725E-7,0.252360487707252,0.3887322157163905,0.40045255100916366,0.4026661753966986,0.4054292908006792,0.4111185472926111,0.4154705199956756,0.423369393134737,0.43755255569516144,0.44211980673980195,0.4521623291737581,0.462599138083226,0.4874682215740457,0.489124171888701,0.5071439333618092,0.5170133681321077,0.541861941756041,0.5478736254208825,0.5498562649184536,0.5753191258851178,0.58351310580038,0.6018415886165577,0.6024695394903333,0.6067392813769967,0.608452263904306,0.6152102026751448,0.6161533026955892,0.619996855481456
0.9,3.256597556944837E-10,6.856209603162894E-8,1.1453965393847773E-7,1.177898616018724E-7,1.482282447540139E-7,3.155556903668358E-7,3.824537630908042E-7,0.263168911207074,0.3972114080646386,0.4325198502774533,0.45236598919633425,0.4541835046123858,0.45959886992109705,0.4619437738818846,0.4706706289391894,0.4819775235546996,0.4871659335135187,0.49549113917105386,0.5057550366090294,0.5104493895650623,0.5272739631795367,0.5297976349754809,0.5461762564683463,0.5519349804457471,0.5528354569501337,0.5553596895591881,0.5576185266651948,0.5594047184103046,0.5665128766140864,0.5731837377539835,0.5793648522163266,0.5844377064533777,0.584980259032901,0.5862352741263532,0.5951883527394983
