0,0.490921,0.631378,0.662877,0.746137,0.839568,0.980641,     nan
0.1,0.48887,0.630624,0.664524,0.746176,0.838615,0.967079,0.974798
0.2,0.09554,0.482877,0.62819,0.66929,0.746369,0.835533,     nan
0.3,0.130882,0.473412,0.623544,0.676675,0.74686,0.829085,     nan
0.4,0.163015,0.461115,0.615871,0.685938,0.747194,0.815043,0.832381
0.5,0.191142,0.246881,0.446756,0.604388,0.696229,0.744364,0.797022
0.6,0.215491,0.295315,0.43078,0.588571,0.706581,0.741212,0.744947
0.7,0.236077,0.342787,0.406296,0.416748,0.56787,0.719435,0.800533
0.8,0.25236,0.388732,0.400453,nan,0.541862,nan,0.727178
0.9,0.263169,0.397211,0.43252,0.510449,0.731464,0.804559,     nan
1,0.26702,0.395058,0.470614,0.476564,0.732789,0.804984,     nan
