0.000000,0.372859,0.393162,0.517534,0.536958,0.624631,0.632752,0.633320,0.673895,0.682481,0.687696,0.748519,0.764127,0.773713,0.788465,0.869311,0.885254,0.915919,0.923471,0.937769,     nan,     nan,     nan,     nan,     nan,     nan,     nan
0.100000,0.049782,0.062353,0.366306,0.399324,0.519505,0.535476,0.623848,0.632239,0.635238,0.666576,0.688027,0.689684,0.747462,0.756308,0.782255,0.789303,0.868631,0.882167,0.921471,0.921585,0.930638,0.936528,0.938613,     nan,     nan,     nan
0.200000,0.074690,0.106494,0.350973,0.412019,0.528272,0.531293,0.622676,0.630180,0.634117,0.659193,0.689414,0.701828,0.744885,0.745419,0.791430,0.795487,0.867060,0.874581,0.904207,0.910968,     nan,     nan,     nan,     nan,     nan,     nan
0.300000,0.098320,0.334563,0.425236,0.525101,0.541488,0.622091,0.625489,0.625529,0.660824,0.692837,0.711271,0.735721,0.742971,0.793707,0.809277,0.848688,0.855413,0.864359,0.865876,0.878529,     nan,     nan,     nan,     nan,     nan,     nan
0.400000,0.119299,0.191097,0.230601,0.311348,0.337883,0.438003,0.517849,0.553274,0.614976,0.618285,0.622466,0.664611,0.699701,0.715373,0.727324,0.745385,0.794309,0.805863,0.815470,0.819645,0.822248,0.853759,     nan,     nan,     nan,     nan
0.500000,0.138391,0.232381,0.273726,0.294251,0.313960,0.353031,0.410111,0.449624,0.510614,0.563559,0.602661,0.609351,0.623708,0.669377,0.693433,0.713529,0.753236,0.757642,0.758980,0.762669,0.763946,0.777282,0.788896,0.792753,0.829243,     nan
0.600000,0.156157,0.267521,0.283103,0.313304,0.341311,0.376693,0.393326,0.412446,0.458688,0.505000,0.571353,0.589437,0.600047,0.624770,0.672013,0.678835,0.707107,0.710180,0.752811,0.754931,0.765374,0.790628,0.837686,     nan,     nan,     nan
0.700000,0.172836,0.270843,0.296347,0.350626,0.363346,0.370342,0.381125,0.396219,0.462748,0.504695,0.570476,0.575867,0.596050,0.623811,0.656225,0.658048,0.665849,0.668157,0.672356,0.683836,0.688140,0.697613,0.714210,0.719857,0.758698,0.775596
0.800000,0.188332,0.257724,0.319308,0.368115,0.380567,0.400294,0.411519,0.460723,0.509655,0.553649,0.561995,0.603350,0.613501,0.619378,0.624110,0.629297,0.638593,0.648481,0.662883,0.664694,0.680448,0.717439,0.762576,0.787680,     nan,     nan
0.900000,0.201690,0.245640,0.336640,0.374517,0.376689,0.447281,0.454097,0.457090,0.463633,0.519958,0.526648,0.547283,0.598664,0.606783,0.608223,0.611514,0.655926,0.674725,0.718552,0.765103,0.783114,0.803681,     nan,     nan,     nan,     nan
1.000000,0.208293,0.239443,0.344782,0.369446,0.379517,0.454842,0.489629,0.491615,0.527829,0.534762,0.546396,0.611182,0.614574,0.652798,0.678344,0.718880,0.765875,0.781915,     nan,     nan,     nan,     nan,     nan,     nan,     nan,     nan
